candidate_index,episode,risk_offset_x_m,risk_offset_y_m,passed,settle_max_relative_drift_m,settle_max_relative_rotation_deg,settle_max_linear_speed_m_s,settle_max_angular_speed_rad_s,settle_full_window_finite,wait_max_relative_drift_m,wait_max_relative_rotation_deg,wait_max_relative_linear_speed_m_s,wait_max_relative_angular_speed_rad_s,wait_max_world_linear_speed_m_s,wait_max_world_angular_speed_rad_s,wait_max_anchor_excess_m,wait_full_window_finite,full_window_inside,full_window_support,forbidden_target_contact,forbidden_robot_contact,occupant_pixels_t0,occupant_pixels_policy_start,max_non_occupant_state_diff
1,2,-0.01,0.0,1,2.4646336913099817e-12,4.676310850554341e-06,3.297796356879849e-12,1.1520568582023966e-13,1,6.130447990424746e-07,0.0007346244722361014,1.3173450476775957e-05,0.0002595554732189938,0.48987538394271796,0.17505602056286523,8.66521516058874e-06,1,1,1,0,0,202,189,0.0
1,3,-0.01,0.0,1,2.4646284531167193e-12,0.0,3.297628445999915e-12,1.0957587801880577e-13,1,6.130448094908099e-07,0.0007346205032346008,1.317345065931282e-05,0.000259553420058053,0.4898753839425559,0.175056020562134,8.665215159699935e-06,1,1,1,0,0,194,194,0.0
1,4,-0.01,0.0,1,2.4646694242296246e-12,0.0,3.297958901805132e-12,1.1462936518535615e-13,1,6.130448045312838e-07,0.000734619510980875,1.317345058752783e-05,0.000259553420058053,0.48987538394253977,0.1750560205624929,8.66521516006975e-06,1,1,1,0,0,195,193,0.0
1,5,-0.01,0.0,1,2.4647276765081122e-12,5.533085616490783e-06,3.2978013954019485e-12,1.0573167355232945e-13,1,6.130448024166967e-07,0.0007346234799877364,1.3173450516496297e-05,0.0002595554732189938,0.4898753839428035,0.1750560205624066,8.665215160391834e-06,1,1,1,0,0,196,187,0.0
1,6,-0.01,0.0,1,2.4644981785153407e-12,1.2074182697257333e-06,3.2980352525423837e-12,1.1508939948460312e-13,1,6.130448061377613e-07,0.0007346224877380315,1.3173450614521902e-05,0.0002595554732189938,0.48987538394254265,0.1750560205624127,8.665215159870871e-06,1,1,1,0,0,186,188,0.0
1,7,-0.01,0.0,1,2.464707741262772e-12,4.9783130603797145e-06,3.2977979621037465e-12,1.0638128289590735e-13,1,6.130448053010531e-07,0.0007346224877380315,1.3173450562903824e-05,0.000259553762252671,0.4898753839427954,0.175056020562115,8.665215160088803e-06,1,1,1,0,0,200,204,0.0
2,0,-0.005,-0.01,1,3.4204037061948287e-12,3.1945284701301985e-06,4.569848850083474e-12,6.825956574010652e-14,1,0.00031841903445509076,0.03303974898370057,0.006368875364317026,0.01153461970629274,0.4898739525098774,0.17343174722411905,9.602922954311255e-06,1,1,1,0,0,181,172,0.0
2,1,-0.005,-0.01,1,3.4197793267939066e-12,6.037091348628669e-06,4.570683992860081e-12,8.453304112681615e-14,1,0.0003184190246688844,0.03303977166363219,0.006368875168350242,0.011534627629703776,0.4898739525098162,0.17343173225794387,9.602926968442647e-06,1,1,1,0,0,186,173,0.0
2,2,-0.005,-0.01,1,3.421018598896213e-12,4.517745487845103e-06,4.569945901601887e-12,7.822329350321706e-14,1,0.00031841904127948066,0.03303973320922534,0.00636887550096635,0.011534614208412498,0.48987395250988547,0.17343175777996978,9.602920144361027e-06,1,1,1,0,0,184,177,0.0
2,3,-0.005,-0.01,1,3.4209198461164543e-12,2.6998693283819165e-06,4.5699531766309915e-12,7.816553734807167e-14,1,0.0003184190523304854,0.033039707859738164,0.006368875722248531,0.011534605353277747,0.48987395250990007,0.17343177472135818,9.602915608534575e-06,1,1,1,0,0,177,189,0.0
