candidate_index,episode,risk_offset_x_m,risk_offset_y_m,safe_candidate_index,safe_offset_x_m,safe_offset_y_m,passed,native_success,occupant_max_relative_drift_m,occupant_max_relative_rotation_deg,target_min_occupant_clearance_m,target_max_tilt_deg,target_max_linear_speed_m_s,target_max_angular_speed_rad_s,target_full_window_inside,target_full_window_support,target_full_window_finite,target_final_stable_streak
1,5,-0.01,0.0,5,0.0,-0.055,0,0,0.02856038812216707,17.20609719776245,0.07832183634887328,89.08567608156264,1.1577557040642932e-06,3.1970141938552614e-05,1,1,1,0
1,6,-0.01,0.0,5,0.0,-0.055,0,0,0.028560388122131988,17.20609719777462,0.07832181329902814,89.08567108769195,6.959378600390919e-07,3.03674983832103e-05,1,1,1,0
1,7,-0.01,0.0,5,0.0,-0.055,0,0,0.028560388122144148,17.20609719776757,0.07850498608814334,89.086756148542,4.063627585446027e-07,9.070315349302787e-06,1,1,1,0
1,0,-0.01,0.0,6,-0.055,0.0,0,1,0.03886931528964113,19.168024498429443,0.047830005140552606,102.08177036902923,3.397740896768499e-06,4.717794749788246e-05,1,1,1,0
1,1,-0.01,0.0,6,-0.055,0.0,0,1,0.03886931528964289,19.168024498377598,0.047829978748412987,102.08161899017803,3.367545961807802e-06,4.0710651358864315e-05,1,1,1,0
1,2,-0.01,0.0,6,-0.055,0.0,0,1,0.03886931528964613,19.16802449839286,0.04783005825687936,102.08197138517413,3.384811190254789e-06,4.388186843720588e-05,1,1,1,0
1,3,-0.01,0.0,6,-0.055,0.0,0,1,0.03886931528964772,19.168024498429443,0.04783021494002994,102.0821707638518,3.1515938335460584e-06,4.0585548772166217e-05,1,1,1,0
1,4,-0.01,0.0,6,-0.055,0.0,0,1,0.03886931528964642,19.168024498454706,0.04782998315156063,102.08185378492541,3.3879840606410843e-06,4.591767976971959e-05,1,1,1,0
1,5,-0.01,0.0,6,-0.055,0.0,0,1,0.03886931528964751,19.168024498428547,0.04783002994749736,102.0817908854686,3.4274270261860436e-06,4.378880410199771e-05,1,1,1,0
1,6,-0.01,0.0,6,-0.055,0.0,0,1,0.038869315289641146,19.168024498397433,0.04654564642861718,89.66899338812156,8.525504642080871e-07,1.6318997658341484e-05,1,1,1,0
1,7,-0.01,0.0,6,-0.055,0.0,0,1,0.038869315289644,19.16802449842735,0.047829979393278384,102.08172045644666,3.250700653867567e-06,4.6655762382508306e-05,1,1,1,0
