candidate_index,episode,risk_offset_x_m,risk_offset_y_m,safe_candidate_index,safe_offset_x_m,safe_offset_y_m,passed,native_success,occupant_max_relative_drift_m,occupant_max_relative_rotation_deg,target_min_occupant_clearance_m,target_max_tilt_metric_deg,target_max_raw_body_tilt_deg,target_max_linear_speed_m_s,target_max_angular_speed_rad_s,target_full_window_inside,target_full_window_support,target_full_window_finite,target_final_stable_streak
0,3,0.0,0.025,2,0.0,0.04,0,0,0.3469028711620581,59.29478999556875,17.01080407366327,89.99916423853126,0.0008382509489997679,5.038917017919837e-16,3.9729344927230244e-15,0,0,1,0
0,4,0.0,0.025,2,0.0,0.04,0,0,0.3469028712762531,59.2947899983709,17.01080407515627,89.99916423853226,0.0008382509489997679,5.151676911335532e-16,5.719934064434805e-15,0,0,1,0
0,5,0.0,0.025,2,0.0,0.04,0,0,0.34690287249205287,59.29479003431234,17.010804079684632,89.99916423853155,0.0008382509489997679,5.072669452413819e-16,4.730518760666169e-15,0,0,1,0
0,6,0.0,0.025,2,0.0,0.04,0,0,0.34690287222103156,59.294790024405906,17.010804078923655,89.9991642385318,0.0008382509489997679,4.918081519652203e-16,3.566528822135355e-15,0,0,1,0
0,7,0.0,0.025,2,0.0,0.04,0,0,0.346902871782914,59.29479001324194,17.010804075807805,89.9991642385321,0.0008382509489997679,6.53543392105025e-16,3.7824821325496185e-15,0,0,1,0
0,0,0.0,0.025,3,-0.04,0.0,0,1,0.03520871904926067,16.29305132038753,0.04891593957886542,2.409082119573985,89.99945053190581,1.2964410801981761e-11,1.5447597161181352e-13,1,1,1,15
0,1,0.0,0.025,3,-0.04,0.0,0,1,0.03520871904928581,16.29305132040145,0.048915939594832154,2.409082081825182,89.99945053190619,1.2964231577981728e-11,1.5217547822173164e-13,1,1,1,15
0,2,0.0,0.025,3,-0.04,0.0,0,1,0.03520871904928149,16.293051320400224,0.0489159395935748,2.409082084234242,89.99945053190625,1.2964363107335504e-11,1.5319708906121074e-13,1,1,1,15
0,3,0.0,0.025,3,-0.04,0.0,0,1,0.035208719049293,16.29305132040526,0.04891593960039714,2.4090820700224667,89.9994505319064,1.2965059762666938e-11,1.6124134417446934e-13,1,1,1,15
0,4,0.0,0.025,3,-0.04,0.0,0,1,0.03520871904927398,16.293051320395193,0.048915939588376554,2.4090820966970687,89.99945053190608,1.2964459854269056e-11,1.5714432712813586e-13,1,1,1,15
0,5,0.0,0.025,3,-0.04,0.0,0,1,0.03520871904931531,16.293051320408345,0.048915939608705016,2.409082060585379,89.99945053190645,1.2964630021645566e-11,1.5890684790057751e-13,1,1,1,15
0,6,0.0,0.025,3,-0.04,0.0,0,1,0.035208719049271836,16.29305132039261,0.048915939584970314,2.4090821059472605,89.99945053190595,1.2963235022470624e-11,1.3626990746818948e-13,1,1,1,15
0,7,0.0,0.025,3,-0.04,0.0,0,1,0.035208719049297794,16.293051320405624,0.04891593960220119,2.4090820687925882,89.9994505319063,1.2964218316930016e-11,1.5305418338771592e-13,1,1,1,15
0,0,0.0,0.025,4,0.0,-0.03,1,1,7.870309571718901e-07,0.0011822135578771669,0.05504815643168236,7.2445096183544035e-06,90.00000540036542,7.141752406496851e-12,7.192720821551017e-14,1,1,1,15
0,1,0.0,0.025,4,0.0,-0.03,1,1,7.870309517452769e-07,0.0011822110915539054,0.05504815643165088,7.091976543484069e-06,90.00000540036538,7.141669450484835e-12,7.106732716113469e-14,1,1,1,15
0,2,0.0,0.025,4,0.0,-0.03,1,1,7.87030963161005e-07,0.001182216024195283,0.05504815643169102,7.2445096183544035e-06,90.00000540036538,7.142428661386848e-12,7.796718672837692e-14,1,1,1,15
0,3,0.0,0.025,4,0.0,-0.03,1,1,7.870309718145236e-07,0.001182210474972286,0.05504815643172233,7.194024615706825e-06,90.00000540036542,7.141955121426216e-12,7.212169661413122e-14,1,1,1,15
0,4,0.0,0.025,4,0.0,-0.03,1,1,7.87030943077949e-07,0.0011822110915539054,0.055048156431632675,7.2445096183544035e-06,90.00000540036542,7.142173921260233e-12,7.298090755480131e-14,1,1,1,15
0,5,0.0,0.025,4,0.0,-0.03,1,1,7.870309480381525e-07,0.0011822086252254989,0.05504815643165127,7.2445096183544035e-06,90.00000540036538,7.142273796261346e-12,8.84974930070715e-14,1,1,1,15
0,6,0.0,0.025,4,0.0,-0.03,1,1,7.870309536654874e-07,0.0011822154076162363,0.05504815643166992,6.9360898910140305e-06,90.0000054003654,7.142081935512319e-12,7.067961240053918e-14,1,1,1,15
0,7,0.0,0.025,4,0.0,-0.03,1,1,7.870309620269269e-07,0.001182210474972286,0.055048156431690184,7.2445096183544035e-06,90.00000540036544,7.142004031049475e-12,7.21424604575637e-14,1,1,1,15
